Region,MainIsland,Budget Total,Median Cost Savings,Average Completion Delay Days,HighDelayPct,Efficiency Score
National Capital Region,Luzon,PHP 34512858340.75,PHP 286227.21,272.12,99.86%,100.0
Region VIII,Visayas,PHP 16898327608.32,PHP 54266.47,247.83,100.00%,26.28
Region IX,Mindanao,PHP 3377302460.31,PHP 30006.93,305.28,100.00%,10.3
Region II,Luzon,PHP 20227511049.35,PHP 10000.00,248.87,100.00%,3.97
Region XII,Mindanao,PHP 10690650674.10,PHP 7401.14,262.58,100.00%,2.75
Region IV-B,Luzon,PHP 21123321654.84,PHP 2905.69,261.3,99.66%,1.06
Region X,Mindanao,PHP 19013059584.80,PHP 3642.22,340.24,100.00%,1.02
Region III,Luzon,PHP 60816863675.42,PHP 2215.65,212.9,100.00%,0.99
Region I,Luzon,PHP 23331355341.59,PHP 2128.91,226.9,98.56%,0.89
Cordillera Administrative Region,Luzon,PHP 11716720926.29,PHP 1987.80,235.98,100.00%,0.8
Region VI,Visayas,PHP 18050187896.44,PHP 650.65,308.71,100.00%,0.2
Region IV-A,Luzon,PHP 32419071965.21,PHP 500.00,257.93,100.00%,0.18
Region XIII,Mindanao,PHP 16446177598.05,PHP 228.54,321.69,100.00%,0.06
Region V,Luzon,PHP 40386863421.27,PHP 89.62,236.85,100.00%,0.03
Region VII,Visayas,PHP 25698691973.26,PHP 29.50,245.13,99.77%,0.01
Region XI,Mindanao,PHP 15224989180.30,PHP 16.20,276.52,100.00%,0.0
