Contractor,Total Contract Cost,No of Projects,Avg Delay Days,Total Cost Savings,Reliability Index,Risk Flag
LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),PHP 6939497568.22,90,288.98,PHP 7032130.99,-0.22,High Risk
QM BUILDERS,PHP 5440141806.08,73,233.49,PHP 2912517.20,-0.09,High Risk
"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",PHP 4871731092.68,35,315.97,PHP 15861041.67,-0.82,High Risk
ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,PHP 4502774103.24,72,283.57,PHP 58049917.28,-2.77,High Risk
ST. TIMOTHY CONSTRUCTION CORPORATION,PHP 4096888409.16,65,265.34,PHP 44028455.15,-2.09,High Risk
HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,PHP 3684007914.48,49,266.33,PHP 10774197.45,-0.57,High Risk
"L.R. TIQUI BUILDERS, INC.",PHP 3395077836.71,39,321.33,PHP 29861432.37,-2.26,High Risk
CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,PHP 3152620665.21,54,285.78,PHP 26089679.53,-1.8,High Risk
ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,PHP 3124038144.17,35,253.49,PHP 41683537.07,-2.42,High Risk
"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",PHP 2937694807.70,46,245.63,PHP 18939252.10,-1.11,High Risk
MG SAMIDAN CONSTRUCTION,PHP 2831491351.49,32,230.69,PHP 2557448.69,-0.14,High Risk
BICOL GOLDROCK CONSTRUCTION CORPORATION,PHP 2788720071.20,38,266.37,PHP 10375289.04,-0.73,High Risk
HGG BUILDERS & SUPPLY,PHP 2756187577.29,20,328.9,PHP 1045505.56,-0.1,High Risk
GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,PHP 2744734281.65,34,292.88,PHP 8634560.07,-0.71,High Risk
"M. MONTESCLAROS ENTERPRISES, INC.",PHP 2740263793.22,23,468.0,PHP 57311136.03,-8.78,High Risk
