FundingYear,TypeOfWork,Total Projects,AvgSavings,Overrun Rate,Year Over Year Change
2022,Rehabilitation / Major Repair of Flood Mitigation Facility,1,PHP 4370780.74,0.00%,PHP -2086.64
2023,Construction of Flood Mitigation Facility,74,PHP 1010904.89,17.57%,PHP 89.83
2022,Construction of Slope Protection Structure,309,PHP 848361.91,7.77%,PHP 83.99
2022,Rehabilitation / Major Repair of Slope Protection Structure,16,PHP 841782.91,6.25%,PHP -80.74
2022,Construction of Flood Mitigation Facility,43,PHP 829713.74,20.93%,PHP 7.37
2023,Rehabilitation / Major Repair of Slope Protection Structure,13,PHP 827947.12,0.00%,PHP 11.44
2022,Construction of Dike,76,PHP 772732.76,6.58%,PHP 67.69
2022,Construction of Groundsill,2,PHP 752371.18,0.00%,PHP -10.62
2023,Rehabilitation / Major Repair of Flood Mitigation Facility,5,PHP 742935.05,0.00%,PHP 2.26
2023,Rehabilitation / Major Repair of Flood Control Structure,213,PHP 726532.73,8.45%,PHP -28.13
2022,Construction of Flood Mitigation Structure,2049,PHP 632441.76,11.37%,PHP 0.0
2023,Construction of Slope Protection Structure,196,PHP 547223.53,5.61%,PHP 69.38
2023,Rehabilitation / Major Repair of Drainage Structure,72,PHP 532518.76,1.39%,PHP 100.44
2022,Construction of Drainage Structure,226,PHP 462623.30,13.27%,PHP -45.47
2022,Rehabilitation / Major Repair of Drainage Structure,84,PHP 461093.03,7.14%,PHP -27.09
2022,Construction of Revetment,269,PHP 460817.62,1.86%,PHP -0.39
2023,Construction of Waterway,1,PHP 356123.39,0.00%,PHP 0.0
2023,Construction of Flood Mitigation Structure,2292,PHP 323078.46,9.42%,PHP 146.35
2023,Construction of Spur Dike,1,PHP 318022.73,0.00%,PHP 31522.34
2023,Construction of Drainage Structure,244,PHP 265674.69,5.33%,PHP -51.45
2023,Construction of Groundsill,9,PHP 235146.99,0.00%,PHP 960.22
2023,Construction of Cutoff Channel,1,PHP 198580.99,0.00%,PHP -37.56
2023,Construction of Revetment,236,PHP 131144.22,3.39%,PHP 58.67
2022,Embankment,1,PHP 82651.90,0.00%,PHP 16530280.00
2023,Construction of Dike,97,PHP 22179.13,1.03%,PHP -97.32
2023,Repair/Maintenance of Flood Control Structures,1,PHP 1005.69,0.00%,PHP -99.72
2022,Construction of Waterway,1,PHP 0.50,0.00%,PHP -100.50
2023,Upgrading of Drainage Structure,1,PHP 0.00,0.00%,PHP -100.00
2022,Construction of Spur Dike,2,PHP -99.94,50.00%,PHP -100.01
2022,Rehabilitation / Major Repair of Flood Control Structure,255,PHP -220009.13,18.43%,PHP -126.52
